Nazwa|Cena|Miasto|Dzielnica|Stan nieruchomości|Pow. całkowita|Piętro|Liczba pięter|Typ kuchni|łazienka razem z WC|Stolarka okienna|Depozyt za wynajem|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Balkon|Rok budowy|Liczba poziomów mieszkania|Liczba łazienek|Stan budynku|Pow. łazienki|Taras|Pow. ogródka|Liczba sypialni|Wysokość wnętrza|Pow. balkonu|Cena do negocjacji|Pow. tarasu|Pow. użytkowa|Dodatkowe koszty|Pow. loggii
Posiadamy na wynajem atrakcyjne mieszkanie o pow|2 500 zł|Gdański, |Gdańsk, ||50 m²|2/2|2|Brak||||Wtórny||Własność||||C.o. miejskie|15.02.2024|15.02.2024|morizon-JJ02535|468|0|Tak|||1|Wysoki standard||Nie|||||||||
Duża kawalerka w centrum miasta|2 000 zł|Gdańsk, |Siedlce, ||45 m²||3|||||Wtórny|||Na wyłączność|Blok Mieszkalny|Cegła|Gazowe|22.03.2024|08.04.2024|morizon-552810|180|0||||||||||||||||
Luksusowa Kawalerka nad Motławą|3 100 zł|Gdańsk, |Śródmieście, ||35 m²|3/4|4|||||Wtórny|||Na wyłączność||||13.12.2023|19.03.2024|morizon-315448|142|0|Tak|2022|||||||1|||||||
Luksusowe 2 pokoje garaż siłownia nad Motławą|3 400 zł|Gdańsk, |Śródmieście, |BARDZO WYSOKI STANDARD|40 m²|4/6|6|ANEKS KUCHENNY||||Wtórny|03.10.2023|WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ|03.10.2023|09.02.2024|morizon-47740/2089/OMW|183|0|Tak|2021||1||||||||||||
elegancki apartament 2 pokojowy w centrum Gdańska|4 000 zł|Gdańsk, |Śródmieście, ||55 m²|5/5|5|||||Wtórny|Od zaraz||||||03.03.2024|03.03.2024|morizon-1538393601|269|0||||||||||||||||
Eleganckie mieszkanie Szafarnia 11 Gdańsk|5 500 zł|Gdańsk, |Szafarnia||70 m²|4/7|7|||||Wtórny|||Na wyłączność||||26.10.2023|22.03.2024|morizon-477442383|154|0||||||||||||||||
SCALA apartament 4 pokoje Gdańsk Centrum|9 500 zł|Gdańsk M., |Gdańsk, |Wysoki standard|96,51 m²|5/5|5|||||Wtórny||||Apartamentowiec|||19.12.2023|12.02.2024|morizon-BHN-MW-4027-4|159|0|Tak|||||||||||||||
Do wynajęcia kawalerka w Brzeźnie|2 000 zł|Gdańsk, |Brzeźno, ||27 m²||4|||||Wtórny|10.04.2024||Na wyłączność||||10.04.2024|10.04.2024|morizon-96/5569/OMW|28|0||1970||||||||||||||
atrakcyjne mieszkanie na Starówce|3 500 zł|Gdańsk||Idealny|34 m²|4/5|5|Aneks|Tak|PCV||Wtórny||Własność||Apartamentowiec|Silikat|Miejskie|05.04.2024|05.04.2024|morizon-2699|20|0|Tak|2023|||||||1|277 cm|4 m²|||||
Nowy apartament Gdańsk Śródmieście/ 4 pokoje|6 500 zł|Gdańsk M., |Gdańsk, |Wysoki standard|78 m²|||Aneks kuchenny - połączony z salonem|||13000|Wtórny||||Apartamentowiec|||31.05.2023|26.07.2023|morizon-BHN-MW-3649|306|0|Tak||||||||3||||||1000|
Kawalerka w najlepszym punkcie Łostowic|2 100 zł|Gdańsk, |Łostowice, ||30 m²|||Aneks|Tak|||Wtórny|||||||20.02.2024|07.04.2024|morizon-gratka-33416887|406|0|Tak|||||||||||||||
Od zaraz - Mila Baltica - Robyg - 2 pokoje, hala garażowa - morze, plaża|2 800 zł|Gdańsk, |Wrzeszcz|Wysoki standard|40 m²|3/4|4|Aneks kuchenny||||Wtórny||Własność|||||22.01.2024|04.03.2024|morizon-520965|253|0||2017||1||||||||||||
Gdańsk Centrum - 2 pokoje, balkon, garaż|3 000 zł|Gdańsk, |Śródmieście, ||51 m²||4|||||Wtórny|01.10.2023|||Apartamentowiec||Co Miejskie|06.09.2023|16.11.2023|morizon-DH815851|187|0|Tak||||||||1|||||||
Wynajem- dwie osobne sypialnie - Quattro Towers|3 200 zł|Gdańsk, |Wrzeszcz, ||50 m²|4/16|16|||||Wtórny|||||||03.04.2024|12.03.2024|morizon-885913|43|0|Tak|||||||||||||||
Mieszkanie 3pokoje 56m2 Gdańsk Śrómieście|3 500 zł|Gdańsk, |Jałmużnicza||56 m²|3/4|4|||||Wtórny||||Blok Mieszkalny||Co Miejskie|06.01.2024|03.04.2024|morizon-DJ467446|101|0|Tak||1||||||2|||||||
Internetowa to najlepszy adres dla wszystkich, któ|2 500 zł|Gdański, |Gdańsk, ||33 m²|1/2|2|Brak||||Wtórny||Własność||||C.o. miejskie|29.11.2023|31.01.2024|morizon-JJ02528|176|0|Nie|2023||1|Wysoki standard||Nie|||||||||
Mieszkanie 3pokoje 60m2 z ogrodem 100m2 ZASPA|4 300 zł|Gdańsk, |Stefana Drzewieckiego||59,30 m²||7|||||Wtórny||||Blok Mieszkalny||Co Miejskie|14.02.2024|05.03.2024|morizon-DJ993685|86|0|||1||||||2|||||||
Posiadamy do wynajęcia mieszkanie dwupoziomowe o p|5 000 zł|Gdańsk, |Oliwa, ||120 m²|1/1|1|Osobna|Nie|||Wtórny||Własność||||Gazowe|25.01.2024|24.01.2024|morizon-JJ02419|160|0|Nie||2|1|Bardzo dobry||Tak|||||||||
SCALA apartament 4 pokoje Gdańsk Centrum|8 900 zł|Gdańsk M., |Gdańsk, |Wysoki standard|96,51 m²|5/5|5|||||Wtórny||||Apartamentowiec|||21.08.2023|13.02.2024|morizon-BHN-MW-4030-4|180|0|Tak|||||||||||||||
Mieszkanie - Gdańsk Jelitkowo|250 zł|Gdańsk, |Jelitkowo, ||39,99 m²|2/3|3|Półotwarta||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|05.10.2018|26.07.2023|morizon-IT0865|6 120|0|Tak|2017||1|Wysoki standard||Nie||||5 m²|||||
3 pokojowe mieszkanie z oddzielną kuchnią|3 850 zł|Gdańsk, |Ujeścisko, ||78 m²|1/3|3|||||Wtórny||||Blok Mieszkalny||Co Miejskie|03.10.2023|19.12.2023|morizon-DH294092|213|0|Tak|2005||||||||||||||
Gdańsk Południe 47m2, dwa pokoje Topazowa|2 150 zł|Gdańsk, |Łostowice, ||46,70 m²|2/3|3|||||Wtórny||||Blok Mieszkalny|Pustak|Co Miejskie|08.09.2023|19.03.2024|morizon-DJ579446|462|0|Tak|2004|1||||Nie|||||||||
Gdańsk Centrum, w pełni wyposażone mieszkanie|2 900 zł|Gdańsk, |Śródmieście, ||42 m²|4/5|5|||||Wtórny||||Apartamentowiec||Co Miejskie|12.09.2023|14.11.2023|morizon-DH365874|160|0|Tak|||||||||||||||
Osiedle Horyzont Przymorze - 3 pokoje 75m2|4 500 zł|Gdańsk, |Przymorze, ||75 m²|2/12|12|||||Wtórny||||Blok Mieszkalny||Co Miejskie|05.12.2023|08.03.2024|morizon-DJ744609|229|0|Tak|2008|1||||||2|||||||
Internetowa to najlepszy adres dla wszystkich, kt|2 200 zł|Gdański, |Gdańsk, ||27 m²|1/2|2|Brak||||Wtórny||Własność||||C.o. miejskie|29.11.2023|09.02.2024|morizon-JJ02527|271|0|Nie|2023||1|Wysoki standard||Nie|||||||||
Mieszkanie 50m2 2 pokoje Gdańsk Jasień|2 900 zł|Gdańsk, |Turzycowa||50 m²|1/5|5|||||Wtórny||||Blok Mieszkalny||Co Miejskie|22.12.2023|25.03.2024|morizon-DJ556597|130|0|Tak|2020|1||||||1|||||||
Doki-kompaktowa kawalerka z klimatyzacją, balkonem|3 000 zł|Gdańsk, |Śródmieście||23 m²|1/7|7|||||Wtórny|21.09.2023||Na wyłączność|Apartamentowiec||Co Miejskie|26.09.2023|07.02.2024|morizon-DH901563|215|0|Tak|2023||||||||||||||
Mieszkanie 2 poka wynajem Gdańsk Aniołki ul. Focha|3 500 zł|Gdańsk, |Aniołki, ||50,90 m²|2/4|4|||||Wtórny||||Blok Mieszkalny||Co Miejskie|30.01.2024|26.02.2024|morizon-DJ290901|97|0|Tak||1|||||||||||||
Duże mieszkanie dla 5 pracowników Super Przymorze|2 000 zł|Gdańsk, |Szczecińska||70 m²|1/2|2|||||Wtórny|05.04.2024|WŁASNOŚĆ|Na wyłączność|NISKI WIELORODZINNY|PUSTAK||05.12.2023|05.04.2024|morizon-40/5569/OMW|292|0||1995||||||||||||||
apartament w sercu miasta|5 200 zł|Gdańsk, |Śródmieście, ||62 m²|4/5|5|||||Wtórny|||||||16.01.2024|18.02.2024|morizon-HEX458636|69|0|Tak|2019||||||||||||||
Kameralne mieszkanie-atrakcyjna lokalizacja|3 000 zł|Gdańsk, |Oliwa, ||43 m²|3/4|4|Osobna|Tak|||Wtórny||Spółdzielcze-własnościowe||Blok|Cegła||01.05.2023|06.04.2024|morizon-36|701|0|Tak||1|1|Dobry|||||||||||
Mieszkanie 4-pokojowe 85m2 - Gdańsk Letnica|5 300 zł|Gdańsk, |Letnica, ||85 m²|2/5|5|||||Wtórny||||Blok Mieszkalny||Co Miejskie|26.01.2024|26.01.2024|morizon-DJ564636|157|0|Tak||1||||||3|||||||
Mieszkanie 2 pokoje 55m2 Gdańsk Śródmieście|4 200 zł|Gdańsk, |Śródmieście, ||55 m²||3|||||Wtórny|01.01.2024|||Blok Mieszkalny||Co Miejskie|07.12.2023|13.03.2024|morizon-DJ783342|149|0||2021|1||||Tak|||||||||
Apartament w Centrum Gdańska|3 200 zł|Gdańsk, |Śródmieście, ||36 m²|2/6|6|||||Wtórny|31.01.2023|||Apartamentowiec||Co Miejskie|12.09.2023|14.11.2023|morizon-DH237831|114|0||||||||||||||||
Apartament w Centrum Gdańska|3 400 zł|Gdańsk, |Śródmieście, ||36 m²|2/6|6|||||Wtórny|31.01.2023|||Apartamentowiec||Co Miejskie|12.09.2023|14.11.2023|morizon-DH306137|119|0||||||||||||||||
Mieszkanie 3pokoje 85m2 Gdańsk Suchanino|6 500 zł|Gdańsk, |Suchanino, ||85 m²|3/4|4|||||Wtórny||||Blok Mieszkalny||Co Miejskie|18.01.2024|18.01.2024|morizon-DJ190456|93|0|Tak|2012|1||||Tak||2|||||||
Mieszkanie 44m2 2 pokoje Gdańsk Morena|3 300 zł|Gdańsk, |Morena, ||42 m²|2/8|8|||||Wtórny||||Blok Mieszkalny||Co Miejskie|12.01.2024|13.02.2024|morizon-DJ551847|66|0|Tak||1||||||1|||||||
Kawalerka z dużą kuchnią 42m2 Środmieście|2 500 zł|Gdańsk, |Śródmieście, ||42 m²|2/3|3|||||Wtórny||||Kamienica|Cegła|Co Miejskie|10.11.2023|06.02.2024|morizon-DJ563517|146|0||1956|1|||||||||||||
Zajezdnia Wrzeszcz - 3 pokoje 55m2 z balkonem|4 000 zł|Gdańsk, |Wrzeszcz, ||55 m²|7/8|8|||||Wtórny||||Blok Mieszkalny||Co Miejskie|27.11.2023|24.02.2024|morizon-DJ221074|207|0|Tak|2020|1||||||2|||||||
Mieszkanie na wynajem - Gdańsk ul. Letnicka|2 500 zł|Gdańsk, |Letnica, |Wysoki standard|26 m²|4/5|5|Aneks|Tak|||Wtórny|01.05.2023|||Apartamentowiec|||26.04.2023|27.05.2023|morizon-gratka-30288867|215|0|Tak|2022||||||||||||||
Kawalerka Premium Oliwa|2 800 zł|Gdańsk, |Przymorze, ||35 m²|1/5|5|||||Wtórny|||||||14.11.2023|06.02.2024|morizon-219386|195|0|Tak||1||||||1|||||||
Mieszkanie 3 pokoje 64m2 Gdańsk Letnica|4 200 zł|Gdańsk, |Letnica, ||64 m²|4/6|6|||||Wtórny||||Blok Mieszkalny||Co Miejskie|13.11.2023|08.02.2024|morizon-DJ873248|150|0|Tak||1|||||||||||||
wynajmę mieszkanie|2 500 zł|Gdańsk, |Przymorze Małe, |Dobry|38 m²|5/10|10|Osobna|Tak|||Wtórny|01.06.2023|||Blok|Wielka płyta||09.05.2023|09.06.2023|morizon-gratka-30399085|1 508|0|Tak|1988||||||||||||||
150 m od Motławy, Centrum Starówki|2 500 zł|Gdańsk, |Stare Miasto, ||55,30 m²|2/3|3|||||Wtórny|||||||20.10.2023|18.01.2024|morizon-BN440264|273|0|||||||||1|||||||
