Nazwa|Cena|Miasto|Dzielnica|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji
Posiadamy na wynajem atrakcyjne mieszkanie o pow|2 500 zł|Gdański, |Gdańsk, | • 3 pokoje||50 m²||2/2|2||Brak||Tak||||Wtórny|Własność|||15.02.2024|15.02.2024|morizon-JJ02535|549|0|1||Nie|||Wysoki standard|C.o. miejskie||||||||
Mieszkanie - Gdańsk Aniołki|2 600 zł|Gdańsk, |Aniołki, | • 2 pokoje||50 m²||1/3|3||Osobna||Tak||||Wtórny|Własność|||28.03.2024|27.03.2024|morizon-HL0930|43|0|1||Nie||2000|Do zamieszkania|C.o. miejskie||||||||
atrakcyjne mieszkanie na Starówce|3 500 zł|Gdańsk|| • 2 pokoje|Idealny|34 m²|277 cm|4/5|5|1|Aneks|Tak|Tak|PCV|||Wtórny|Własność||Apartamentowiec|05.04.2024|05.04.2024|morizon-2699|47|0||4 m²|||2023||Miejskie||Silikat||||||
Nowy apartament Gdańsk Śródmieście/ 4 pokoje|6 500 zł|Gdańsk M., |Gdańsk, | • 4 pokoje|Wysoki standard|78 m²||||3|Aneks kuchenny - połączony z salonem||Tak||13000|1000|Wtórny|||Apartamentowiec|31.05.2023|26.07.2023|morizon-BHN-MW-3649|321|0|||||||||||||||
Do wynajęcia kawalerka w Brzeźnie|2 000 zł|Gdańsk, |Brzeźno, | • 1 pokój||27 m²|||4||||||||Wtórny||Na wyłączność||10.04.2024|10.04.2024|morizon-96/5569/OMW|123|0|||||1970|||10.04.2024|||||||
Wynajem- dwie osobne sypialnie - Quattro Towers|3 200 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje||50 m²||4/16|16||||Tak||||Wtórny||||03.04.2024|12.03.2024|morizon-885913|74|0|||||||||||||||
Mieszkanie 3pokoje 56m2 Gdańsk Śrómieście|3 500 zł|Gdańsk, |Jałmużnicza| • 3 pokoje||56 m²||3/4|4|2|||Tak||||Wtórny|||Blok Mieszkalny|06.01.2024|03.04.2024|morizon-DJ467446|113|0|||||||Co Miejskie|||1|||||
Przestronna kawalerka blisko morza|1 700 zł|Gdańsk, |Żabianka, | • 1 pokój||31 m²||4/4|4|1|||||||Wtórny||||05.04.2024|05.04.2024|morizon-DH719627|219|0|||||1976||||||||||
Internetowa to najlepszy adres dla wszystkich, któ|2 500 zł|Gdański, |Gdańsk, | • 2 pokoje||33 m²||1/2|2||Brak||Nie||||Wtórny|Własność|||29.11.2023|31.01.2024|morizon-JJ02528|186|0|1||Nie||2023|Wysoki standard|C.o. miejskie||||||||
Mieszkanie 3pokoje 60m2 z ogrodem 100m2 ZASPA|4 300 zł|Gdańsk, |Stefana Drzewieckiego| • 3 pokoje||59,30 m²|||7|2|||||||Wtórny|||Blok Mieszkalny|14.02.2024|05.03.2024|morizon-DJ993685|94|0|||||||Co Miejskie|||1|||||
Mieszkanie - Gdańsk Jelitkowo|250 zł|Gdańsk, |Jelitkowo, | • 2 pokoje||39,99 m²||2/3|3||Półotwarta||Tak||||Wtórny|Własność|Na wyłączność||05.10.2018|26.07.2023|morizon-IT0865|6 157|0|1|5 m²|Nie||2017|Wysoki standard|C.o. miejskie||||||||
Bezpośrednio wynajmę 2 pokojowe mieszkanie. Nowe meble i sprzęty AGD|3 075 zł|Gdańsk, |Zaspa, | • 2 pokoje||40 m²|||4|||Tak|Nie||||Wtórny|Własność|Na wyłączność|Blok|12.02.2022|06.04.2024|morizon-2-8|2 066|0|1||||2022|Po remoncie|Miejskie|01.01.2024|Inna|1|3,90 m²||43,63 m²||
Przytulne 2 pokojowe mieszkanie w sercu Wrzeszcza|3 300 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Do wprowadzenia|43 m²||2/6|6||||||||Wtórny|||Budynek wielorodzinny|15.01.2024|15.01.2024|morizon-BHN-MW-3981|108|0|||||||||||||||
Klimatyczne mieszkanie z ogrodem|5 000 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje||105 m²|||2||||Nie||||Wtórny|||Kamienica|21.07.2023|05.03.2024|morizon-PAN150275|524|0|||||||Co Miejskie||Cegła||||||
SCALA apartament 4 pokoje Gdańsk Centrum|8 900 zł|Gdańsk M., |Gdańsk, | • 4 pokoje|Wysoki standard|96,51 m²||5/5|5||||Tak||||Wtórny|||Apartamentowiec|21.08.2023|13.02.2024|morizon-BHN-MW-4030-4|185|0|||||||||||||||
Gdańsk Południe 47m2, dwa pokoje Topazowa|2 150 zł|Gdańsk, |Łostowice, | • 2 pokoje||46,70 m²||2/3|3||||Tak||||Wtórny|||Blok Mieszkalny|08.09.2023|19.03.2024|morizon-DJ579446|471|0|||Nie||2004||Co Miejskie||Pustak|1|||||
Mieszkanie z malowniczym widokiem i halą garażową|2 800 zł|Gdańsk, |Piecki-Migowo, | • 2 pokoje||41 m²||3/3|3||||||||Wtórny||||13.03.2024|06.04.2024|morizon-1538386722|848|0||||||||Od zaraz|||||||Tak
Osiedle Horyzont Przymorze - 3 pokoje 75m2|4 500 zł|Gdańsk, |Przymorze, | • 3 pokoje||75 m²||2/12|12|2|||Tak||||Wtórny|||Blok Mieszkalny|05.12.2023|08.03.2024|morizon-DJ744609|245|0|||||2008||Co Miejskie|||1|||||
Posiadamy do wynajęcia mieszkanie dwupoziomowe o p|5 000 zł|Gdańsk, |Oliwa, | • 5 pokoi||120 m²||1/1|1||Osobna|Nie|Nie||||Wtórny|Własność|||25.01.2024|24.01.2024|morizon-JJ02419|189|0|1||Tak|||Bardzo dobry|Gazowe|||2|||||
Pokój do wynajęcia, Piecki Migowo bez czynszu|1 350 zł|Gdańsk, |Piecki-Migowo, | • 5 pokoi||13 m²||6/10|10||Osobna|Nie|Tak||||Wtórny|||Blok|19.12.2023|18.04.2024|morizon-gratka-32819969|392|0|||||||||||||||
Internetowa to najlepszy adres dla wszystkich, kt|2 200 zł|Gdański, |Gdańsk, | • 1 pokój||27 m²||1/2|2||Brak||Nie||||Wtórny|Własność|||29.11.2023|09.02.2024|morizon-JJ02527|287|0|1||Nie||2023|Wysoki standard|C.o. miejskie||||||||
Mieszkanie 50m2 2 pokoje Gdańsk Jasień|2 900 zł|Gdańsk, |Turzycowa| • 2 pokoje||50 m²||1/5|5|1|||Tak||||Wtórny|||Blok Mieszkalny|22.12.2023|25.03.2024|morizon-DJ556597|135|0|||||2020||Co Miejskie|||1|||||
Mieszkanie - Gdańsk|2 200 zł|Gdański, |Gdańsk, | • 2 pokoje||41,40 m²||3/4|4||Półotwarta||Tak||||Wtórny|Własność|||20.01.2024|08.03.2024|morizon-BE0554|474|0|1|4 m²|Nie|||Bardzo dobry|C.o. miejskie||||||||
Wynajmę 1-pok mieszkanie z widokiem na zieleń. Nowe budownictwo|2 477 zł|Gdańsk, |Zaspa, | • 1 pokój||25 m²||4/4|4|||Tak|Nie||||Wtórny|Własność||Blok|12.02.2022|01.03.2024|morizon-2-4|3 204|0|1||||2022|Po remoncie||22.08.2023|Inna|1|3,90 m²||||
Mieszkanie 2 poka wynajem Gdańsk Aniołki ul. Focha|3 500 zł|Gdańsk, |Aniołki, | • 2 pokoje||50,90 m²||2/4|4||||Tak||||Wtórny|||Blok Mieszkalny|30.01.2024|26.02.2024|morizon-DJ290901|107|0|||||||Co Miejskie|||1|||||
apartament w sercu miasta|5 200 zł|Gdańsk, |Śródmieście, | • 2 pokoje||62 m²||4/5|5||||Tak||||Wtórny||||16.01.2024|18.02.2024|morizon-HEX458636|78|0|||||2019||||||||||
Bezpośrednio wynajmę słoneczne 1 pokojowe Gdańsk Zaspa. Wyposażone i umeblowane|2 477 zł|Gdańsk, |Zaspa, | • 1 pokój||25 m²||4/4|4|||Tak|Nie||||Wtórny|Własność||Blok|12.02.2022|01.03.2024|morizon-2-3|2 085|0|1||||2022|Po remoncie||01.10.2023|Inna|1|3,90 m²||||
Kameralne mieszkanie-atrakcyjna lokalizacja|3 000 zł|Gdańsk, |Oliwa, | • 2 pokoje||43 m²||3/4|4||Osobna|Tak|Tak||||Wtórny|Spółdzielcze-własnościowe||Blok|01.05.2023|06.04.2024|morizon-36|712|0|1|||||Dobry|||Cegła|1|||||
Mieszkanie 4-pokojowe 85m2 - Gdańsk Letnica|5 300 zł|Gdańsk, |Letnica, | • 4 pokoje||85 m²||2/5|5|3|||Tak||||Wtórny|||Blok Mieszkalny|26.01.2024|26.01.2024|morizon-DJ564636|178|0|||||||Co Miejskie|||1|||||
Mieszkanie 2 pokoje 55m2 Gdańsk Śródmieście|4 200 zł|Gdańsk, |Śródmieście, | • 2 pokoje||55 m²|||3||||||||Wtórny|||Blok Mieszkalny|07.12.2023|13.03.2024|morizon-DJ783342|155|0|||Tak||2021||Co Miejskie|01.01.2024||1|||||
Mieszkanie - Gdańsk Stare Miasto|2 800 zł|Gdańsk, |Stare Miasto, | • 2 pokoje||43 m²||1/4|4||Półotwarta||Nie||||Wtórny|Własność|||14.02.2024|13.02.2024|morizon-ZA016418|275|0|1||Nie|||Dobry|C.o. miejskie||||||||
Mieszkanie 3pokoje 85m2 Gdańsk Suchanino|6 500 zł|Gdańsk, |Suchanino, | • 3 pokoje||85 m²||3/4|4|2|||Tak||||Wtórny|||Blok Mieszkalny|18.01.2024|18.01.2024|morizon-DJ190456|106|0|||Tak||2012||Co Miejskie|||1|||||
Duże mieszkanie dla 5 pracowników Super Przymorze|2 000 zł|Gdańsk, |Szczecińska| • 2 pokoje||70 m²||1/2|2||||||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI WIELORODZINNY|05.12.2023|05.04.2024|morizon-40/5569/OMW|332|0|||||1995|||05.04.2024|PUSTAK||||||
Kawalerka z dużą kuchnią 42m2 Środmieście|2 500 zł|Gdańsk, |Śródmieście, | • 1 pokój||42 m²||2/3|3||||||||Wtórny|||Kamienica|10.11.2023|06.02.2024|morizon-DJ563517|149|0|||||1956||Co Miejskie||Cegła|1|||||
Zajezdnia Wrzeszcz - 3 pokoje 55m2 z balkonem|4 000 zł|Gdańsk, |Wrzeszcz, | • 3 pokoje||55 m²||7/8|8|2|||Tak||||Wtórny|||Blok Mieszkalny|27.11.2023|24.02.2024|morizon-DJ221074|221|0|||||2020||Co Miejskie|||1|||||
Mieszkanie na wynajem - Gdańsk ul. Letnicka|2 500 zł|Gdańsk, |Letnica, | • 2 pokoje|Wysoki standard|26 m²||4/5|5||Aneks|Tak|Tak||||Wtórny|||Apartamentowiec|26.04.2023|27.05.2023|morizon-gratka-30288867|254|0|||||2022|||01.05.2023|||||||
Kawalerka Premium Oliwa|2 800 zł|Gdańsk, |Przymorze, | • 1 pokój||35 m²||1/5|5|1|||Tak||||Wtórny||||14.11.2023|06.02.2024|morizon-219386|201|0||||||||||1|||||
Mieszkanie 3 pokoje 64m2 Gdańsk Letnica|4 200 zł|Gdańsk, |Letnica, | • 3 pokoje||64 m²||4/6|6||||Tak||||Wtórny|||Blok Mieszkalny|13.11.2023|08.02.2024|morizon-DJ873248|161|0|||||||Co Miejskie|||1|||||
wynajmę mieszkanie|2 500 zł|Gdańsk, |Przymorze Małe, | • 2 pokoje|Dobry|38 m²||5/10|10||Osobna|Tak|Tak||||Wtórny|||Blok|09.05.2023|09.06.2023|morizon-gratka-30399085|1 588|0|||||1988|||01.06.2023|Wielka płyta||||||
150 m od Motławy, Centrum Starówki|2 500 zł|Gdańsk, |Stare Miasto, | • 2 pokoje||55,30 m²||2/3|3|1|||||||Wtórny||||20.10.2023|18.01.2024|morizon-BN440264|285|0|||||||||||||||
